sid,line,group,refkey,refurl,Type,LocalizationSID,Weight,Cost,Rarity,AnomalyElementType,ArtifactType,ArchiartifactType,MaxStackCount,ItemGridWidth,ItemGridHeight,IsQuestItem,IsQuestItemPrototype,RequireWeight,IgnoreEquippedWeight,Invisible,InvisibleInPlayerInventory,DestroyOnPickup,DropOnPickup,DetectorRequired,Strafe,ArtifactSpawn,LifeTime,LifeTimeDependant,Persistent,Radius,JumpAmount,JumpDistance,JumpDelay,JumpSeriesDelay,JumpHeight,JumpForce,JumpSpeedCoef,PlayerDistance,ReturnDistanceValue,StateTransitionDelay,DisableCollisionWhenHide,DamageToStaminaCoefficient,DamageToWeightCoefficient,MinWeight,MaxWeight,WeightDecreaseDelay,WeightDecreaseRate,WeightDecreaseAmount,MinimalDrunkenness,EffectsDuration,MaxCharge,ChargeThreshold,ChargingSpeed,bUseCharge,LandingForce
EArtifactWorm_Fake,17619,fake,EArtifactWorm,,EItemType::Artifact,EArtifactWorm,0.35,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactCloud,17711,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.4,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactCloud_Fake,17802,fake,EArtifactCloud,,EItemType::Artifact,EArtifactCloud,0.4,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactAtom,17894,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.3,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactAtom_Fake,17982,fake,EArtifactAtom,,EItemType::Artifact,EArtifactAtom,0.3,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactRazor,18071,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.55,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactRazor_Fake,18162,fake,EArtifactRazor,,EItemType::Artifact,EArtifactRazor,0.55,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactSparkler,18254,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.4,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Electro,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
EArtifactSparkler_Fake,18342,fake,EArtifactSparkler,,EItemType::Artifact,EArtifactSparkler,0.4,12000.0,EArtifactRarity::Common,EAnomalyElementType::Electro,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactFireBall,18431,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.5,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactFireBall_Fake,18519,fake,FArtifactFireBall,,EItemType::Artifact,FArtifactFireBall,0.5,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
GArtifactGoldFish,18608,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.35,12000.0,EArtifactRarity::Common,EAnomalyElementType::Gravity,EArtifactType::Gravity,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
GArtifactGoldFish_Fake,18697,fake,GArtifactGoldFish,,EItemType::Artifact,GArtifactGoldFish,0.35,12000.0,EArtifactRarity::Common,EAnomalyElementType::Gravity,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactSteak,18787,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.55,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactSteak_Fake,18875,fake,FArtifactSteak,,EItemType::Artifact,FArtifactSteak,0.55,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
GArtifactStoneDrop,18964,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.65,12000.0,EArtifactRarity::Common,EAnomalyElementType::Gravity,EArtifactType::Gravity,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
GArtifactStoneDrop_Fake,19054,fake,GArtifactStoneDrop,,EItemType::Artifact,GArtifactStoneDrop,0.65,12000.0,EArtifactRarity::Common,EAnomalyElementType::Gravity,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactBakedBolts,19145,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.55,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactBakedBolts_Fake,19237,fake,FArtifactBakedBolts,,EItemType::Artifact,FArtifactBakedBolts,0.55,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactGlass,19330,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.4,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactGlass_Fake,19422,fake,FArtifactGlass,,EItemType::Artifact,FArtifactGlass,0.4,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactDeadSponge,19515,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.3,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactDeadSponge_Fake,19603,fake,FArtifactDeadSponge,,EItemType::Artifact,FArtifactDeadSponge,0.3,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactHellishHedgehog,19692,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.55,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactHellishHedgehog_Fake,19784,fake,FArtifactHellishHedgehog,,EItemType::Artifact,FArtifactHellishHedgehog,0.55,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactPlasma,19877,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.5,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactPlasma_Fake,19965,fake,FArtifactPlasma,,EItemType::Artifact,FArtifactPlasma,0.5,20000.0,EArtifactRarity::Uncommon,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,5,1500.0,3.0,35.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactCandle,20054,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.3,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactCandle_Fake,20142,fake,FArtifactCandle,,EItemType::Artifact,FArtifactCandle,0.3,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactRingOmnipotence,20231,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.6,70000.0,EArtifactRarity::Epic,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,9,1500.0,3.0,15.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactRingOmnipotence_Fake,20322,fake,FArtifactRingOmnipotence,,EItemType::Artifact,FArtifactRingOmnipotence,0.6,70000.0,EArtifactRarity::Epic,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,9,1500.0,3.0,15.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactFireworks,20414,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.4,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactFireworks_Fake,20502,fake,FArtifactFireworks,,EItemType::Artifact,FArtifactFireworks,0.4,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactCore,20591,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.55,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactCore_Fake,20683,fake,FArtifactCore,,EItemType::Artifact,FArtifactCore,0.55,36000.0,EArtifactRarity::Rare,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,7,1500.0,3.0,25.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactBurntHunk,20776,ordinary-candidate,TemplateArtifact,,EItemType::Artifact,,0.35,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fire,EArchiartifactType::None,999,1,1,,,,false,false,false,false,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
FArtifactBurntHunk_Fake,20864,fake,FArtifactBurntHunk,,EItemType::Artifact,FArtifactBurntHunk,0.35,12000.0,EArtifactRarity::Common,EAnomalyElementType::Fire,EArtifactType::Fake,EArchiartifactType::None,999,1,1,,,,false,false,false,true,false,true,true,true,3600.0,true,false,40.0,3,1500.0,6.0,45.0,100.0,15.0,1.0,1000.0,10000.0,1.0,true,,,,,,,,,,,,,,
