sid,line,attrs,UseListOfArtifacts,SingleArtifactSpawner,rank,Count,Radius,MinCooldown,MaxCooldown,SpawnChanceBase,SpawnChanceBonus,RarityChance.Common,RarityChance.Uncommon,RarityChance.Rare,RarityChance.Epic
AtomArtifactSpawner,342,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
AtomArtifactSpawner,342,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
AtomArtifactSpawner,342,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BatteryArtifactSpawner,411,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BatteryArtifactSpawner,411,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BatteryArtifactSpawner,411,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BatteryArtifactSpawner,411,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RazorArtifactSpawner,480,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RazorArtifactSpawner,480,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RazorArtifactSpawner,480,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RazorArtifactSpawner,480,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FlashArtifactSpawner,549,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FlashArtifactSpawner,549,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FlashArtifactSpawner,549,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FlashArtifactSpawner,549,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ThunderHedgehogArtifactSpawner,618,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ThunderHedgehogArtifactSpawner,618,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ThunderHedgehogArtifactSpawner,618,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ThunderHedgehogArtifactSpawner,618,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SoulArtifactSpawner,687,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SoulArtifactSpawner,687,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SoulArtifactSpawner,687,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SoulArtifactSpawner,687,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
MoonlightArtifactSpawner,756,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
MoonlightArtifactSpawner,756,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
MoonlightArtifactSpawner,756,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
MoonlightArtifactSpawner,756,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
TowArtifactSpawner,825,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
TowArtifactSpawner,825,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
TowArtifactSpawner,825,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
TowArtifactSpawner,825,refkey=Empty,true,false,Master,1,0.0,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DummyArtifactSpawner,894,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DummyArtifactSpawner,894,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DummyArtifactSpawner,894,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DummyArtifactSpawner,894,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SnowflakeArtifactSpawner,963,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SnowflakeArtifactSpawner,963,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SnowflakeArtifactSpawner,963,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SnowflakeArtifactSpawner,963,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CloudArtifactSpawner,1032,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CloudArtifactSpawner,1032,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CloudArtifactSpawner,1032,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CloudArtifactSpawner,1032,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
WormArtifactSpawner,1101,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
WormArtifactSpawner,1101,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
WormArtifactSpawner,1101,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
WormArtifactSpawner,1101,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SparklerArtifactSpawner,1170,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SparklerArtifactSpawner,1170,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SparklerArtifactSpawner,1170,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SparklerArtifactSpawner,1170,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CrystalGlassArtifactSpawner,1239,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CrystalGlassArtifactSpawner,1239,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CrystalGlassArtifactSpawner,1239,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CrystalGlassArtifactSpawner,1239,refkey=Empty,true,false,Master,1,0.0,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DopeArtifactSpawner,1308,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DopeArtifactSpawner,1308,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DopeArtifactSpawner,1308,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DopeArtifactSpawner,1308,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
JellyFishArtifactSpawner,1377,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
JellyFishArtifactSpawner,1377,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
JellyFishArtifactSpawner,1377,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
JellyFishArtifactSpawner,1377,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ChocolateArtifactSpawner,1446,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ChocolateArtifactSpawner,1446,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ChocolateArtifactSpawner,1446,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ChocolateArtifactSpawner,1446,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
HellishHedgehogArtifactSpawner,1515,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
HellishHedgehogArtifactSpawner,1515,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
HellishHedgehogArtifactSpawner,1515,refkey=Empty,true,false,Veteran,1,0.0,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
HellishHedgehogArtifactSpawner,1515,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SteakArtifactSpawner,1584,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SteakArtifactSpawner,1584,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SteakArtifactSpawner,1584,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SteakArtifactSpawner,1584,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BurntHunkArtifactSpawner,1653,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BurntHunkArtifactSpawner,1653,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BurntHunkArtifactSpawner,1653,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BurntHunkArtifactSpawner,1653,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BakedBoltsArtifactSpawner,1722,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BakedBoltsArtifactSpawner,1722,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BakedBoltsArtifactSpawner,1722,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BakedBoltsArtifactSpawner,1722,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DropsArtifactSpawner,1791,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DropsArtifactSpawner,1791,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DropsArtifactSpawner,1791,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DropsArtifactSpawner,1791,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RingOmnipotenceArtifactSpawner,1860,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RingOmnipotenceArtifactSpawner,1860,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RingOmnipotenceArtifactSpawner,1860,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RingOmnipotenceArtifactSpawner,1860,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DeadSpongeArtifactSpawner,1929,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DeadSpongeArtifactSpawner,1929,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DeadSpongeArtifactSpawner,1929,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
DeadSpongeArtifactSpawner,1929,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FireBallArtifactSpawner,1998,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FireBallArtifactSpawner,1998,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FireBallArtifactSpawner,1998,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FireBallArtifactSpawner,1998,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
PlasmaArtifactSpawner,2067,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
PlasmaArtifactSpawner,2067,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
PlasmaArtifactSpawner,2067,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
PlasmaArtifactSpawner,2067,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CandleArtifactSpawner,2136,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CandleArtifactSpawner,2136,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CandleArtifactSpawner,2136,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CandleArtifactSpawner,2136,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ResinArtifactSpawner,2205,refkey=Empty,true,false,Newbie,1,0.0,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ResinArtifactSpawner,2205,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ResinArtifactSpawner,2205,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
ResinArtifactSpawner,2205,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GlassArtifactSpawner,2274,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GlassArtifactSpawner,2274,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GlassArtifactSpawner,2274,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GlassArtifactSpawner,2274,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FireworksArtifactSpawner,2343,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FireworksArtifactSpawner,2343,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FireworksArtifactSpawner,2343,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
FireworksArtifactSpawner,2343,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CoreArtifactSpawner,2412,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CoreArtifactSpawner,2412,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CoreArtifactSpawner,2412,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CoreArtifactSpawner,2412,refkey=Empty,true,false,Master,1,0.f,3.0,5.0,40.0,5.0,0.f,0.f,0.f,0.f
CrystalArtifactSpawner,2481,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CrystalArtifactSpawner,2481,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CrystalArtifactSpawner,2481,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
CrystalArtifactSpawner,2481,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
MomsBeadsArtifactSpawner,2550,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
MomsBeadsArtifactSpawner,2550,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
MomsBeadsArtifactSpawner,2550,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
MomsBeadsArtifactSpawner,2550,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
HedgehogArtifactSpawner,2619,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
HedgehogArtifactSpawner,2619,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
HedgehogArtifactSpawner,2619,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
HedgehogArtifactSpawner,2619,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BudArtifactSpawner,2688,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BudArtifactSpawner,2688,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BudArtifactSpawner,2688,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BudArtifactSpawner,2688,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
WrenchedArtifactSpawner,2757,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
WrenchedArtifactSpawner,2757,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
WrenchedArtifactSpawner,2757,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
WrenchedArtifactSpawner,2757,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GravyArtifactSpawner,2826,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GravyArtifactSpawner,2826,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GravyArtifactSpawner,2826,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GravyArtifactSpawner,2826,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GraphiteBlockArtifactSpawner,2895,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GraphiteBlockArtifactSpawner,2895,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GraphiteBlockArtifactSpawner,2895,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
GraphiteBlockArtifactSpawner,2895,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SpongeArtifactSpawner,2964,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SpongeArtifactSpawner,2964,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SpongeArtifactSpawner,2964,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SpongeArtifactSpawner,2964,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
StoneDropArtifactSpawner,3033,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
StoneDropArtifactSpawner,3033,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
StoneDropArtifactSpawner,3033,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
StoneDropArtifactSpawner,3033,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BloodStoneArtifactSpawner,3102,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BloodStoneArtifactSpawner,3102,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BloodStoneArtifactSpawner,3102,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
BloodStoneArtifactSpawner,3102,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RubiksCubeArtifactSpawner,3171,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RubiksCubeArtifactSpawner,3171,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RubiksCubeArtifactSpawner,3171,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
RubiksCubeArtifactSpawner,3171,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SpringArtifactSpawner,3240,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SpringArtifactSpawner,3240,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SpringArtifactSpawner,3240,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SpringArtifactSpawner,3240,refkey=Empty,true,false,Master,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SplitStoneArtifactSpawner,3309,refkey=Empty,true,false,Newbie,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SplitStoneArtifactSpawner,3309,refkey=Empty,true,false,Experienced,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
SplitStoneArtifactSpawner,3309,refkey=Empty,true,false,Veteran,1,0.f,3.0,15.0,40.0,5.0,0.f,0.f,0.f,0.f
